FY18/19 - CONDOMINIUM COMPARABLE PROPERTIES as of 01/05/2018  prepared on 02/01/2018,,,,,,,,,,,,,,,COMPARABLE RENTAL - 1,,,,,,,,,,,,,,,COMPARABLE RENTAL - 2,,,,,,,,,,,,,,,COMPARABLE RENTAL - 3,,,,,,,,,,,,,,
Boro-Block-Lot,Condominium,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles,Boro-Block-Lot,Address,Neighborhood,Building Class,Total Units,Year Built,Gross SqFt,Estimated Gross Income,Gross Income per SqFt,Estimated Expense,Expense per SqFt,Net Operating Income,Full Market Value,Market Value per SqFt,Distance from Condo in miles
1-00396-7501,2105-R1,215 AVENUE B,ALPHABET CITY,R4  -ELEVATOR,17,2008,"19,333","838,666",43.38,"301,595",15.6,"537,071","4,323,001",223.61,1-00394-0063,611 EAST 11 STREET,ALPHABET CITY,D9  -ELEVATOR,28,1910,"14,252","618,252",43.38,"222,331",15.6,"395,921","2,707,000",189.94,0.1,1-00393-0025,636 EAST 11 STREET,ALPHABET CITY,D5  -ELEVATOR,30,1985,"27,362","1,333,624",48.74,"436,424",15.95,"897,200","4,907,000",179.34,0.15,1-00393-0055,361 EAST 10 STREET,ALPHABET CITY,D1  -ELEVATOR,38,1912,"22,776","973,674",42.75,"325,697",14.3,"647,977","4,584,000",201.26,0.15
1-01948-7502,2114-R1,88 MORNINGSIDE AVENUE,HARLEM-CENTRAL,R9  -CONDOPS,74,2011,"76,735","2,361,136",30.77,"966,861",12.6,"1,394,275","11,027,000",143.7,1-01949-0047,540 MANHATTAN AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,77,1912,"60,768","1,871,047",30.79,"788,769",12.98,"1,082,278","4,073,000",67.03,0.08,1-01945-0001,40 MORNINGSIDE AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,41,1920,"57,148","1,758,444",30.77,"720,065",12.6,"1,038,379","2,886,000",50.5,0.15,1-01924-0004,2196 FREDRICK DOUGLASS BLVD,HARLEM-CENTRAL,D1  -ELEVATOR,13,1910,"14,031","423,736",30.2,"195,171",13.91,"228,565","2,059,000",146.75,0.23
1-00310-7503,2116-R1,55 HESTER STREET,LOWER EAST SIDE,R4  -ELEVATOR,27,1940,"23,344","1,188,210",50.9,"163,408",7,"1,024,802","8,249,001",353.37,1-00354-0020,153 NORFOLK STREET,LOWER EAST SIDE,D1  -ELEVATOR,50,1912,"22,500","1,145,250",50.9,"157,500",7,"987,750","6,788,000",301.69,0.32,1-00274-0014,75 MONROE STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,1900,"10,785","533,210",49.44,"62,122",5.76,"471,088","2,279,000",211.31,0.34,1-00343-0067,53 PITT STREET,LOWER EAST SIDE,D1  -ELEVATOR,14,1900,"14,938","787,083",52.69,"138,475",9.27,"648,608","3,527,000",236.11,0.36
1-01683-7502,2121-R1,317 EAST 111 STREET,HARLEM-EAST,R4  -ELEVATOR,21,2008,"24,395","975,312",39.98,"293,228",12.02,"682,084","5,486,000",224.88,1-01680-0011,315 EAST 108 STREET,HARLEM-EAST,D1  -ELEVATOR,48,1920,"22,596","896,383",39.67,"238,614",10.56,"657,769","4,903,000",216.99,0.15,1-01667-0042,210 EAST 118 STREET,HARLEM-EAST,D1  -ELEVATOR,27,2003,"29,280","1,174,421",40.11,"370,392",12.65,"804,029","2,899,000",99.01,0.33,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3  -ELEVATOR,48,2002,"52,520","2,099,750",39.98,"631,290",12.02,"1,468,460","4,413,000",84.03,0.33
1-02132-7501,2122-R1,2360 AMSTERDAM AVENUE,WASHINGTON HEIGHTS LOWER,R4  -ELEVATOR,28,2007,"38,351","939,216",24.49,"396,549",10.34,"542,667","4,173,004",108.81,1-02132-0032,508 WEST 178 STREET,WASHINGTON HEIGHTS LOWER,D1  -ELEVATOR,37,1910,"28,266","666,512",23.58,"267,962",9.48,"398,550","1,239,000",43.83,0,1-02133-0080,240 AUDUBON AVENUE,WASHINGTON HEIGHTS LOWER,D1  -ELEVATOR,37,1920,"43,932","1,075,895",24.49,"454,257",10.34,"621,638","1,650,000",37.56,0.08,1-02133-0050,220 AUDUBON AVENUE,WASHINGTON HEIGHTS LOWER,D1  -ELEVATOR,37,1920,"46,182","1,139,772",24.68,"491,838",10.65,"647,934","1,551,000",33.58,0.1
1-01822-7502,2123-R1,1845 ADAM C. POWELL BOULEVARD,HARLEM-CENTRAL,R4  -ELEVATOR,46,1915,"105,957","3,046,264",28.75,"1,301,152",12.28,"1,745,112","13,726,000",129.54,1-01990-0040,468 RIVERSIDE DRIVE,MORNINGSIDE HEIGHTS,D3  -ELEVATOR,38,1910,"67,518","1,836,490",27.2,"660,326",9.78,"1,176,164","10,865,000",160.92,0.86,1-01205-0029,315 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,43,1911,"109,769","3,155,859",28.75,"1,347,963",12.28,"1,807,896","13,863,000",126.29,1.1,1-01199-0029,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,68,1925,"128,194","3,733,009",29.12,"1,462,694",11.41,"2,270,315","27,826,000",217.06,1.4
1-01795-7502,2125-R1,346 EAST 119 STREET,HARLEM-EAST,R4  -ELEVATOR,11,2007,"12,026","304,378",25.31,"114,006",9.48,"190,372","1,472,005",122.4,1-01667-0042,210 EAST 118 STREET,HARLEM-EAST,D1  -ELEVATOR,27,2003,"29,280","772,992",26.4,"294,557",10.06,"478,435","2,899,000",99.01,0.15,1-01644-0011,123 EAST 116 STREET,HARLEM-EAST,D3  -ELEVATOR,20,1910,"12,565","308,596",24.56,"116,603",9.28,"191,993","768,000",61.12,0.36,1-01767-0047,166 EAST 119 STREET,HARLEM-CENTRAL,D9  -ELEVATOR,24,1920,"26,400","668,184",25.31,"250,272",9.48,"417,912","3,138,000",118.86,0.25
1-00136-7505,2132-R1,85 WEST BROADWAY,CIVIC CENTER,R4  -ELEVATOR,15,2007,"15,060","748,783",49.72,"196,382",13.04,"552,401","4,446,000",295.22,1-00470-0005,160 MOTT STREET,LITTLE ITALY,D1  -ELEVATOR,35,1910,"11,967","597,871",49.96,"191,472",16,"406,399","2,504,000",209.24,0.74,1-00276-0010,21 MONROE STREET,LOWER EAST SIDE,C1  -WALK-UP,20,1900,"9,575","472,239",49.32,"146,306",15.28,"325,933","823,000",85.95,0.71,1-00491-0027,552 BROOME STREET,SOHO,C4  -WALK-UP,11,1900,"8,470","421,128",49.72,"110,449",13.04,"310,679","1,549,000",182.88,0.69
1-01941-7501,2133-R1,239 WEST 135 STREET,HARLEM-CENTRAL,R4  -ELEVATOR,12,2008,"9,741","323,401",33.2,"121,373",12.46,"202,028","1,608,000",165.08,1-02006-0042,112 WEST 138 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,54,1920,"38,904","1,292,391",33.22,"463,347",11.91,"829,044","3,449,000",88.65,0.2,1-02048-0011,337 WEST 138 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,67,1930,"50,250","1,642,170",32.68,"640,185",12.74,"1,001,985","2,666,000",53.05,0.23,1-02009-0054,164 WEST 141 STREET,HARLEM-CENTRAL,D9  -ELEVATOR,84,1920,"53,525","1,777,030",33.2,"666,922",12.46,"1,110,108","3,038,000",56.76,0.3
1-00805-7502,2134-R1,835 AVENUE OF THE AMERICAS,FASHION,RR  -CONRENT,302,2010,"279,895","16,802,097",60.03,"4,310,383",15.4,"12,491,714","100,545,000",359.22,1-00776-0020,229 WEST 26 STREET,CHELSEA,D9  -ELEVATOR,26,1925,"13,000","731,640",56.28,"221,780",17.06,"509,860","1,798,000",138.31,0.22,1-00754-0031,313 WEST 30 STREET,FASHION,D1  -ELEVATOR,47,1987,"31,512","1,920,972",60.96,"592,426",18.8,"1,328,546","8,978,000",284.91,0.34,1-00754-0016,345 WEST 30 STREET,FASHION,D1  -ELEVATOR,37,1987,"25,657","1,540,190",60.03,"395,118",15.4,"1,145,072","7,403,000",288.54,0.34
1-01821-7502,2139-R1,118 WEST 112 STREET,HARLEM-CENTRAL,R4  -ELEVATOR,24,1915,"24,090","844,114",35.04,"375,804",15.6,"468,310","3,748,003",155.58,1-01844-0027,3 WEST 108 STREET,MANHATTAN VALLEY,D1  -ELEVATOR,24,1905,"22,584","714,332",31.63,"357,053",15.81,"357,279","2,875,000",127.3,0.31,1-01848-0031,346 MANHATTAN AVENUE,MANHATTAN VALLEY,D1  -ELEVATOR,49,1927,"47,730","1,835,219",38.45,"734,087",15.38,"1,101,132","8,855,000",185.52,0.32, , , , , , , , , , , , , , , 
1-02180-7504,2140-R1,210 BENNETT AVENUE,WASHINGTON HEIGHTS UPPER,R4  -ELEVATOR,40,2008,"45,699","1,033,711",22.62,"483,952",10.59,"549,759","4,173,007",91.32,1-02180-0610,700 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1  -ELEVATOR,74,1949,"83,402","1,886,553",22.62,"883,227",10.59,"1,003,326","7,658,000",91.82,0,1-02180-0605,690 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1  -ELEVATOR,100,1940,"90,446","2,174,322",24.04,"991,288",10.96,"1,183,034","11,087,000",122.58,0,1-02180-0406,660 FT WASHINGTON AVENUE,WASHINGTON HEIGHTS UPPER,D1  -ELEVATOR,60,1920,"68,108","1,465,003",21.51,"677,675",9.95,"787,328","7,339,000",107.76,0.07
1-00453-7501,2143-R1,311 EAST 11 STREET,EAST VILLAGE,R4  -ELEVATOR,36,2008,"46,707","2,392,800",51.23,"760,857",16.29,"1,631,943","13,135,000",281.22,1-00453-0011,304 EAST 12 STREET,EAST VILLAGE,D1  -ELEVATOR,89,1940,"101,800","5,096,108",50.06,"1,333,580",13.1,"3,762,528","16,935,000",166.36,0,1-00452-0044,225 EAST 10 STREET,EAST VILLAGE,D9  -ELEVATOR,39,1920,"14,265","765,175",53.64,"188,726",13.23,"576,449","5,756,000",403.51,0.05,1-00468-0013,208 EAST 13 STREET,EAST VILLAGE,D5  -ELEVATOR,13,1930,"14,022","718,347",51.23,"228,418",16.29,"489,929","4,175,000",297.75,0.15
1-00377-7503,2144-R1,101 AVENUE D,ALPHABET CITY,RR  -CONRENT,79,2010,"68,546","3,584,270",52.29,"799,932",11.67,"2,784,338","17,737,899",258.77,1-00406-0048,531 EAST 12 STREET,ALPHABET CITY,D9  -ELEVATOR,27,2009,"29,960","1,663,080",55.51,"266,045",8.88,"1,397,035","11,245,000",375.33,0.37,1-00398-0035,24 AVENUE B,ALPHABET CITY,D6  -ELEVATOR,64,1997,"77,000","4,026,330",52.29,"898,590",11.67,"3,127,740","25,171,000",326.9,0.37,1-00440-0049,421 EAST 12 STREET,EAST VILLAGE,D6  -ELEVATOR,11,2001,"10,512","532,012",50.61,"127,721",12.15,"404,291","3,254,000",309.55,0.48
1-00345-7502,2145-R1,196 STANTON STREET,LOWER EAST SIDE,R4  -ELEVATOR,6,1950,"44,741","2,334,585",52.18,"750,307",16.77,"1,584,278","12,751,998",285.02,1-00435-0045,111 EAST 7 STREET,EAST VILLAGE,D9  -ELEVATOR,47,1920,"32,698","1,710,105",52.3,"430,306",13.16,"1,279,799","10,302,000",315.07,0.44,1-00175-0033,365 BROADWAY,CIVIC CENTER,D7  -ELEVATOR,30,1920,"63,600","3,241,692",50.97,"698,328",10.98,"2,543,364","20,474,000",321.92,1.09,1-00792-0008,151 WEST 16 STREET,CHELSEA,D3  -ELEVATOR,76,1962,"43,770","2,283,919",52.18,"734,023",16.77,"1,549,896","12,474,000",284.99,1.51
1-00420-7501,2147-R1,40 DELANCEY STREET,LOWER EAST SIDE,R4  -ELEVATOR,55,2010,"58,364","2,842,327",48.7,"605,818",10.38,"2,236,509","18,001,993",308.44,1-00354-0020,153 NORFOLK STREET,LOWER EAST SIDE,D1  -ELEVATOR,50,1912,"22,500","1,062,900",47.24,"209,925",9.33,"852,975","6,788,000",301.69,0.24,1-00348-0067,87 ATTORNEY STREET,LOWER EAST SIDE,D3  -ELEVATOR,24,2000,"17,168","867,671",50.54,"206,874",12.05,"660,797","5,585,000",325.31,0.36,1-00479-0033,147 ELIZABETH STREET,LITTLE ITALY,D9  -ELEVATOR,22,1900,"9,293","452,569",48.7,"96,461",10.38,"356,108","1,438,000",154.74,0.22
1-01908-7504,2149-R1,117 WEST 123 STREET,HARLEM-CENTRAL,R4  -ELEVATOR,26,2008,"33,126","1,007,693",30.42,"333,248",10.06,"674,445","5,330,000",160.9,1-01926-0029,2006 ADAM C POWELL BOULEVARD,HARLEM-CENTRAL,D1  -ELEVATOR,70,1900,"58,037","1,765,486",30.42,"583,852",10.06,"1,181,634","3,590,000",61.86,0.21,1-01725-0033,2060 5 AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,25,1900,"25,482","790,452",31.02,"295,082",11.58,"495,370","1,741,000",68.32,0.27,1-01949-0047,540 MANHATTAN AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,77,1912,"60,768","1,789,010",29.44,"588,842",9.69,"1,200,168","4,073,000",67.03,0.33
1-01830-7502,2152-R1,2110 FREDERICK DOUGLASS BLVD,HARLEM-CENTRAL,R4  -ELEVATOR,38,2011,"42,068","1,484,159",35.28,"535,526",12.73,"948,633","7,581,000",180.21,1-01829-0015,247 WEST 113 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,25,1920,"21,756","768,204",35.31,"267,164",12.28,"501,040","1,610,000",74,0.05,1-01828-0032,1858 ADAM C POWELL BOULEVARD,HARLEM-CENTRAL,D1  -ELEVATOR,26,1920,"21,624","762,895",35.28,"275,274",12.73,"487,621","2,055,000",95.03,0.1,1-01828-0034,200 WEST 113 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,84,1920,"43,946","1,470,873",33.47,"440,339",10.02,"1,030,534","5,992,000",136.35,0.1
1-00561-7502,2154-R1,28 EAST 10 STREET,GREENWICH VILLAGE-CENTRAL,R4  -ELEVATOR,96,1928,"138,439","5,615,086",40.56,"1,877,233",13.56,"3,737,853","30,085,993",217.32,1-00563-0043,63 EAST 11 STREET,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,42,1970,"23,353","947,198",40.56,"316,667",13.56,"630,531","6,807,000",291.48,0.09,1-00558-0044,115 EAST 12 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,69,1900,"41,750","1,687,535",40.42,"730,208",17.49,"957,327","13,110,000",314.01,0.21,1-00558-0018,122 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D3  -ELEVATOR,16,1900,"10,225","415,646",40.65,"179,347",17.54,"236,299","2,445,000",239.12,0.21
1-00939-7501,2156-R1,303 EAST 33 STREET,KIPS BAY,R4  -ELEVATOR,129,2009,"127,101","6,803,717",53.53,"1,459,119",11.48,"5,344,598","43,018,006",338.46,1-00939-0021,333 EAST 33 STREET,KIPS BAY,D3  -ELEVATOR,13,1910,"7,860","425,855",54.18,"88,346",11.24,"337,509","1,856,000",236.13,0,1-00939-0023,337 EAST 33 STREET,KIPS BAY,D1  -ELEVATOR,13,1910,"7,247","378,221",52.19,"91,892",12.68,"286,329","1,764,000",243.41,0,1-00914-0011,221 EAST 33 STREET,MURRAY HILL,D1  -ELEVATOR,45,1900,"35,508","1,900,743",53.53,"407,632",11.48,"1,493,111","9,162,000",258.03,0.14
1-00577-7504,2158-R1,14 WEST 14 STREET,GREENWICH VILLAGE-CENTRAL,R4  -ELEVATOR,30,2008,"33,170","1,827,004",55.08,"263,038",7.93,"1,563,966","12,587,999",379.5,1-00570-0008,6 EAST 13 STREET,GREENWICH VILLAGE-CENTRAL,D5  -ELEVATOR,54,1900,"49,408","2,721,393",55.08,"391,805",7.93,"2,329,588","13,222,000",267.61,0.16,1-00573-0011,60 WEST 10 STREET,GREENWICH VILLAGE-CENTRAL,D1  -ELEVATOR,27,1910,"20,797","1,160,057",55.78,"194,244",9.34,"965,813","4,749,000",228.35,0.19,1-00609-0053,115 WEST 13 STREET,GREENWICH VILLAGE-WEST,D1  -ELEVATOR,58,1910,"34,026","1,871,770",55.01,"312,699",9.19,"1,559,071","11,548,000",339.39,0.18
1-01928-7506,2159-R1,2280 FREDERICK DOUGLASS BLVD,HARLEM-CENTRAL,R4  -ELEVATOR,89,2010,"109,191","3,491,928",31.98,"1,231,674",11.28,"2,260,254","17,933,000",164.24,1-01926-0029,2006 ADAM C POWELL BOULEVARD,HARLEM-CENTRAL,D1  -ELEVATOR,70,1900,"58,037","1,912,900",32.96,"675,551",11.64,"1,237,349","3,590,000",61.86,0.1,1-01949-0047,540 MANHATTAN AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,77,1912,"60,768","1,943,361",31.98,"685,463",11.28,"1,257,898","4,073,000",67.03,0.15,1-01945-0001,40 MORNINGSIDE AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,41,1920,"57,148","1,826,450",31.96,"622,342",10.89,"1,204,108","2,886,000",50.5,0.29
1-01745-7502,2161-R1,1465 5 AVENUE,HARLEM-CENTRAL,RR  -CONRENT,54,2010,"51,845","1,486,915",28.68,"597,254",11.52,"889,661","6,987,000",134.77,1-01767-0016,1900 LEXINGTON AVENUE,HARLEM-CENTRAL,D7  -ELEVATOR,135,1975,"201,276","5,631,702",27.98,"2,270,393",11.28,"3,361,309","15,798,000",78.49,0.2,1-01771-0056,2010 LEXINGTON AVENUE,HARLEM-CENTRAL,D7  -ELEVATOR,35,1920,"28,734","849,952",29.58,"363,198",12.64,"486,754","4,610,000",160.44,0.28,1-01820-0017,131 CENTRAL PARK NORTH,HARLEM-CENTRAL,D7  -ELEVATOR,47,1920,"47,446","1,360,751",28.68,"546,578",11.52,"814,173","5,761,000",121.42,0.53
1-01452-7501,2163-R1,303 EAST 77 STREET,UPPER EAST SIDE (59-79),R4  -ELEVATOR,30,2008,"61,517","3,292,390",53.52,"822,482",13.37,"2,469,908","19,879,997",323.16,1-01582-0031,544 EAST 86 STREET,UPPER EAST SIDE (79-96),D3  -ELEVATOR,32,1929,"74,396","3,981,674",53.52,"994,675",13.37,"2,986,999","19,501,000",262.12,0.49,1-01410-0033,177 EAST 75 STREET,UPPER EAST SIDE (59-79),D6  -ELEVATOR,103,1962,"186,802","11,032,526",59.06,"2,815,106",15.07,"8,217,420","43,011,000",230.25,0.27,1-01492-0036,920 PARK AVENUE,UPPER EAST SIDE (79-96),D9  -ELEVATOR,72,1962,"155,544","8,183,170",52.61,"1,773,202",11.4,"6,409,968","37,340,000",240.06,0.47
1-02033-7501,2164-R1,220 WEST 148 STREET,HARLEM-CENTRAL,R4  -ELEVATOR,75,1903,"81,272","3,057,453",37.62,"1,200,387",14.77,"1,857,066","14,923,001",183.62,1-02036-0038,208 WEST 151 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,120,1929,"63,378","2,384,280",37.62,"936,093",14.77,"1,448,187","4,892,000",77.19,0.14,1-02029-0039,222 WEST 144 STREET,HARLEM-CENTRAL,D5  -ELEVATOR,25,1920,"28,200","1,080,906",38.33,"416,232",14.76,"664,674","1,702,000",60.35,0.2,1-02053-0026,313 EDGECOMBE AVENUE,HARLEM-CENTRAL,D1  -ELEVATOR,93,1902,"84,833","2,899,592",34.18,"1,042,598",12.29,"1,856,994","7,054,000",83.15,0.22
1-01828-7506,2166-R1,261 WEST 112 STREET,HARLEM-CENTRAL,R4  -ELEVATOR,35,2006,"66,215","2,267,202",34.24,"1,005,144",15.18,"1,262,058","10,068,993",152.07,1-01990-0040,468 RIVERSIDE DRIVE,MORNINGSIDE HEIGHTS,D3  -ELEVATOR,38,1910,"67,518","2,207,163",32.69,"856,128",12.68,"1,351,035","10,865,000",160.92,0.73,1-01205-0029,315 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,43,1911,"109,769","3,758,491",34.24,"1,666,293",15.18,"2,092,198","13,863,000",126.29,1.07,1-01199-0029,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,68,1925,"128,194","4,436,794",34.61,"1,833,174",14.3,"2,603,620","27,826,000",217.06,1.38
1-01082-7501,2167-R1,552 WEST 54 STREET,CLINTON,RR  -CONRENT,222,2009,"170,121","9,577,812",56.3,"2,424,224",14.25,"7,153,588","57,579,000",338.46,1-01083-0037,508 WEST 55 STREET,CLINTON,D1  -ELEVATOR,58,2000,"53,472","3,010,474",56.3,"761,976",14.25,"2,248,498","13,273,000",248.22,0.05,1-01062-0019,410 WEST 53 STREET,CLINTON,D1  -ELEVATOR,220,1987,"166,518","9,071,901",54.48,"2,920,726",17.54,"6,151,175","53,471,000",321.11,0.18,1-01064-0012,437 WEST 54 STREET,CLINTON,D1  -ELEVATOR,20,1901,"9,920","565,242",56.98,"198,202",19.98,"367,040","2,815,000",283.77,0.18
1-01082-7501,2167-R2,550 WEST 54 STREET,CLINTON,RR  -CONRENT,480,2009,"358,596","17,011,794",47.44,"5,249,845",14.64,"11,761,949","94,671,000",264,1-01076-0015,525 WEST 47 STREET,CLINTON,D1  -ELEVATOR,49,1920,"52,850","2,500,862",47.32,"775,838",14.68,"1,725,024","13,140,000",248.63,0.29,1-01043-0046,328 WEST 53 STREET,MIDTOWN WEST,D5  -ELEVATOR,41,1920,"29,422","1,412,844",48.02,"412,202",14.01,"1,000,642","11,595,000",394.09,0.34,1-01058-0016,425 WEST 48 STREET,CLINTON,C4  -WALK-UP,39,1901,"35,404","1,679,566",47.44,"518,315",14.64,"1,161,251","10,247,000",289.43,0.3
1-00276-7503,2168-R1,31 MONROE STREET,LOWER EAST SIDE,R4  -ELEVATOR,28,2010,"26,649","1,172,822",44.01,"325,917",12.23,"846,905","6,817,006",255.81,1-00309-0022,51 LUDLOW STREET,LOWER EAST SIDE,D3  -ELEVATOR,35,2000,"26,300","1,137,738",43.26,"339,270",12.9,"798,468","9,179,000",349.01,0.41,1-00345-0020,155 RIDGE STREET,LOWER EAST SIDE,D1  -ELEVATOR,56,1940,"35,045","1,568,264",44.75,"405,120",11.56,"1,163,144","5,595,000",159.65,0.88, , , , , , , , , , , , , , , 
1-02006-7501,2171-R1,108 WEST 138 STREET,HARLEM-CENTRAL,R4  -ELEVATOR,15,2011,"21,156","675,300",31.92,"258,949",12.24,"416,351","3,303,004",156.13,1-02006-0045,120 WEST 138 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,47,1937,"29,412","938,831",31.92,"360,003",12.24,"578,828","2,722,000",92.55,0,1-02009-0054,164 WEST 141 STREET,HARLEM-CENTRAL,D9  -ELEVATOR,84,1920,"53,525","1,821,456",34.03,"708,136",13.23,"1,113,320","3,038,000",56.76,0.15,1-01736-0060,50 WEST 139 STREET,HARLEM-CENTRAL,D5  -ELEVATOR,108,1940,"102,132","3,179,369",31.13,"1,186,774",11.62,"1,992,595","10,987,000",107.58,0.19
1-02007-7502,2172-R1,2373 ADAM C. POWELL BOULEVARD,HARLEM-CENTRAL,R4  -ELEVATOR,17,2009,"17,408","580,905",33.37,"183,480",10.54,"397,425","3,166,002",181.87,1-02006-0045,120 WEST 138 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,47,1937,"29,412","981,478",33.37,"310,002",10.54,"671,476","2,722,000",92.55,0.05,1-02009-0054,164 WEST 141 STREET,HARLEM-CENTRAL,D9  -ELEVATOR,84,1920,"53,525","1,899,067",35.48,"617,143",11.53,"1,281,924","3,038,000",56.76,0.1,1-02010-0042,130 WEST 142 STREET,HARLEM-CENTRAL,D1  -ELEVATOR,60,1910,"55,143","1,780,016",32.28,"494,633",8.97,"1,285,383","2,946,000",53.42,0.15
1-01848-7503,2175-R1,2131 FREDERICK DOUGLASS BLVD.,MANHATTAN VALLEY,R4  -ELEVATOR,73,2010,"122,055","4,721,087",38.68,"1,752,710",14.36,"2,968,377","23,835,011",195.28,1-01990-0040,468 RIVERSIDE DRIVE,MORNINGSIDE HEIGHTS,D3  -ELEVATOR,38,1910,"67,518","2,506,943",37.13,"800,763",11.86,"1,706,180","10,865,000",160.92,0.57,1-01205-0029,315 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,43,1911,"109,769","4,245,865",38.68,"1,576,283",14.36,"2,669,582","13,863,000",126.29,1.21,1-01199-0029,251 CENTRAL PARK WEST,UPPER WEST SIDE (79-96),D3  -ELEVATOR,68,1925,"128,194","5,005,976",39.05,"1,729,337",13.49,"3,276,639","27,826,000",217.06,1.52
1-00384-7505,2176-R1,229 EAST 2 STREET,ALPHABET CITY,R4  -ELEVATOR,5,2008,"7,405","260,952",35.24,"80,196",10.83,"180,756","1,444,001",195,1-00398-0022,184 EAST 3 STREET,ALPHABET CITY,D9  -ELEVATOR,47,1920,"21,600","761,184",35.24,"233,928",10.83,"527,256","4,558,000",211.02,0.14,1-00399-0044,185 EAST 3 STREET,ALPHABET CITY,D1  -ELEVATOR,43,1950,"35,550","1,258,115",35.39,"402,071",11.31,"856,044","7,305,000",205.49,0.16,1-00345-0020,155 RIDGE STREET,LOWER EAST SIDE,D1  -ELEVATOR,56,1940,"35,045","1,218,865",34.78,"385,145",10.99,"833,720","5,595,000",159.65,0.07
1-00699-7502,2177-R1,540 WEST 28 STREET,CHELSEA,R4  -ELEVATOR,90,2009,"110,686","5,874,106",53.07,"1,533,001",13.85,"4,341,105","34,940,990",315.68,1-00722-0048,412 WEST 25 STREET,CHELSEA,D1  -ELEVATOR,35,1910,"19,500","1,034,865",53.07,"270,075",13.85,"764,790","5,736,000",294.15,0.22,1-00722-0026,415 WEST 24 STREET,CHELSEA,D1  -ELEVATOR,65,1926,"42,204","2,186,167",51.8,"305,979",7.25,"1,880,188","9,955,000",235.88,0.22,1-00719-0020,433 WEST 21 STREET,CHELSEA,D1  -ELEVATOR,69,1930,"63,956","3,543,162",55.4,"628,048",9.82,"2,915,114","14,716,000",230.1,0.34
1-01631-7501,2183-R1,1635 LEXINGTON AVENUE,HARLEM-EAST,R4  -ELEVATOR,42,2013,"42,273","1,782,230",42.16,"548,281",12.97,"1,233,949","9,932,004",234.95,1-01655-0015,235 EAST 105 STREET,HARLEM-EAST,D3  -ELEVATOR,48,2002,"52,520","2,214,243",42.16,"681,184",12.97,"1,533,059","4,413,000",84.03,0.15,1-01624-0021,155 EAST 96 STREET,HARLEM-EAST,D3  -ELEVATOR,40,1910,"37,065","1,636,420",44.15,"564,129",15.22,"1,072,291","3,845,000",103.74,0.35,1-01680-0011,315 EAST 108 STREET,HARLEM-EAST,D1  -ELEVATOR,48,1920,"22,596","945,643",41.85,"260,080",11.51,"685,563","4,903,000",216.99,0.36
1-00510-7502,2184-R1,295 LAFAYETTE STREET,LITTLE ITALY,R4  -ELEVATOR,6,1901,"40,104","3,808,677",94.97,"1,256,859",31.34,"2,551,818","20,103,000",501.27,1-00231-0005,309 CANAL STREET,SOHO,D5  -ELEVATOR,21,1915,"30,000","2,848,500",94.95,"392,700",13.09,"2,455,800","19,345,000",644.83,0.47,1-00179-0032,176 WEST BROADWAY,TRIBECA,D6  -ELEVATOR,17,2008,"52,930","5,027,821",94.99,"1,304,195",24.64,"3,723,626","29,264,000",552.88,0.77, , , , , , , , , , , , , , , 
